date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:17	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:19%20GMT	https://coreui.io/demo/dark/plugins/draggable-cards.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/plugins/draggable-cards.html	(from https://coreui.io/demo/dark/)
09:54:17	21005/21005	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:19%20GMT	https://coreui.io/demo/dark/plugins/sliders.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/plugins/sliders.html	(from https://coreui.io/demo/dark/)
09:54:17	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:20%20GMT	https://coreui.io/demo/dark/plugins/spinners.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/plugins/spinners.html	(from https://coreui.io/demo/dark/)
09:54:17	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:20%20GMT	https://coreui.io/demo/dark/tables/tables.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/tables/tables.html	(from https://coreui.io/demo/dark/)
09:54:18	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:20%20GMT	https://coreui.io/demo/dark/tables/datatables.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/tables/datatables.html	(from https://coreui.io/demo/dark/)
09:54:18	21004/21004	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Aug%202019%2001:54:20%20GMT	https://coreui.io/demo/dark/widgets.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/widgets.html	(from https://coreui.io/demo/dark/)
09:54:18	3315/3315	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2015:05:51%20GMT	https://coreui.io/demo/dark/login.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/login.html	(from https://coreui.io/demo/dark/)
09:54:18	3459/3459	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2015:05:51%20GMT	https://coreui.io/demo/dark/register.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/register.html	(from https://coreui.io/demo/dark/)
09:54:19	2690/2690	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2015:05:51%20GMT	https://coreui.io/demo/dark/404.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/404.html	(from https://coreui.io/demo/dark/)
09:54:19	2712/2712	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Aug%202019%2015:05:51%20GMT	https://coreui.io/demo/dark/500.html	C:/Users/user/Downloads/coreuidark/coreuidark/coreui.io/demo/dark/500.html	(from https://coreui.io/demo/dark/)
